Index,Metropolitian Area/City,Country,Official est. GDP(billion US$),Metropolitian Population,Metropolitian_Area,City
122,Bydgoszcz–Toruń metropolitan area,Poland,12417.0,752655,Bydgoszcz–Toruń,
123,Cádiz-Jerez metropolitan area,Spain,22971.0,639560,Cádiz-Jerez,
124,Caen,France,25054.0,395885,Caen,
125,Cairns,Australia,10709.0,153951,Cairns,
126,Calgary Metropolitan Region,Canada,76548.0,1542956,Calgary Metropolitan Region,
127,"California-Lexington Park, MD MSA",United States,8849.0,114877,California-Lexington Park,MD MSA
128,Campinas,Brazil,40525.0,1874487,Campinas,
129,Campo Grande,Brazil,959.0,786797,Campo Grande,
130,Campos dos Goytacazes,Brazil,5358.0,511168,Campos dos Goytacazes,
131,Canberra,Australia,30909.0,465118,Canberra,
132,"Canton-Massillon, OH MSA",United States,22880.0,399316,Canton-Massillon,OH MSA
133,"Cape Coral-Fort Myers, FL MSA",United States,44629.0,822453,Cape Coral-Fort Myers,FL MSA
134,"Cape Girardeau, MO-IL MSA",United States,5282.0,98275,Cape Girardeau,MO-IL MSA
135,Cape Town,South Africa,56300.0,4375000,Cape Town,
136,Caracas,Venezuela,70.0,1942652,Caracas,
137,"Carbondale-Marion, IL MSA",United States,6801.0,132693,Carbondale-Marion,IL MSA
138,Cardiff-Newport,United Kingdom,495.0,1552527,Cardiff-Newport,
139,"Carson City, NV MSA",United States,4285.0,58130,Carson City,NV MSA
140,Casablanca,Morocco,47000.0,4625000,Casablanca,
141,"Casper, WY MSA",United States,6273.0,79601,Casper,WY MSA
142,"Cedar Rapids, IA MSA",United States,22009.0,275592,Cedar Rapids,IA MSA
143,Central German Metropolitan Region,Germany,109582.0,2411051,Central German Metropolitan Region,
144,"Chambersburg-Waynesboro, PA MSA",United States,7457.0,156902,Chambersburg-Waynesboro,PA MSA
145,"Champaign-Urbana, IL MSA",United States,14328.0,223265,Champaign-Urbana,IL MSA
146,Chandigarh,India,6.0,2575000,Chandigarh,
147,Changchun,China,96240.0,9066906,Changchun,
148,Changde,China,54355.0,5279102,Changde,
149,Changji Prefecture,China,20113.0,1613585,Changji Prefecture,
150,Changsha,China,208.0,10420600,Changsha,
151,Charleroi,Belgium,1693.0,396820,Charleroi,
152,"Charleston-North Charleston, SC MSA",United States,56933.0,830529,Charleston-North Charleston,SC MSA
153,"Charleston, WV MSA",United States,14891.0,251914,Charleston,WV MSA
154,"Charlotte-Concord-Gastonia, NC-SC MSA",United States,228913.0,2756069,Charlotte-Concord-Gastonia,NC-SC MSA
155,"Charlottesville, VA MSA",United States,17190.0,223825,Charlottesville,VA MSA
156,"Chattanooga, TN-GA MSA",United States,40042.0,574507,Chattanooga,TN-GA MSA
157,Chengdu,China,260409.0,16600000,Chengdu,
