Index,Metropolitian Area/City,Country,Official est. GDP(billion US$),Metropolitian Population,Metropolitian_Area,City
743,Shizuoka,Japan,458.0,3765007,Shizuoka,
744,"Shreveport-Bossier City, LA MSA",United States,27363.0,385154,Shreveport-Bossier City,LA MSA
745,Shuozhou,China,15955.0,1593444,Shuozhou,
746,Siegen,Germany,16336.0,101516,Siegen,
747,"Sierra Vista-Douglas, AZ MSA",United States,5698.0,125663,Sierra Vista-Douglas,AZ MSA
748,Singapore,Singapore,525228.0,5938000,Singapore,
749,"Sioux City, IA-NE-SD MSA",United States,10918.0,149240,Sioux City,IA-NE-SD MSA
750,"Sioux Falls, SD MSA",United States,27770.0,289592,Sioux Falls,SD MSA
751,Sofia metropolitan area,Bulgaria,33042.0,1300000,Sofia,
752,Sorocaba,Brazil,21313.0,779704,Sorocaba,
753,"South Bend-Mishawaka, IN-MI MSA",United States,19042.0,323637,South Bend-Mishawaka,IN-MI MSA
754,"Spartanburg, SC MSA",United States,19485.0,345831,Spartanburg,SC MSA
755,"Spokane-Spokane Valley, WA MSA",United States,35689.0,597919,Spokane-Spokane Valley,WA MSA
756,"Springfield, IL MSA",United States,13952.0,206655,Springfield,IL MSA
757,"Springfield, MA MSA",United States,40110.0,694523,Springfield,MA MSA
758,"Springfield, MO MSA",United States,26687.0,487061,Springfield,MO MSA
759,"Springfield, OH MSA",United States,5500.0,134831,Springfield,OH MSA
760,St. Catharines–Niagara Falls,Canada,12979.0,437080,St. Catharines–Niagara Falls,
761,"St. Cloud, MN MSA",United States,12943.0,201868,St. Cloud,MN MSA
762,"St. George, UT MSA",United States,9561.0,197680,St. George,UT MSA
763,"St. John's, Newfoundland and Labrador",Canada,9628.0,213919,St. John's,Newfoundland and Labrador
764,"St. Joseph, MO-KS MSA",United States,6873.0,119690,St. Joseph,MO-KS MSA
765,"St. Louis, MO-IL MSA",United States,209936.0,2801319,St. Louis,MO-IL MSA
766,"State College, PA MSA",United States,10325.0,158425,State College,PA MSA
767,"Staunton, VA MSA",United States,6332.0,126776,Staunton,VA MSA
768,Stockholm metropolitan area,Sweden,203899.0,2308143,Stockholm,
769,"Stockton, CA MSA",United States,40228.0,793229,Stockton,CA MSA
770,Strasbourg,France,4909.0,1150899,Strasbourg,
771,Stuttgart Metropolitan Region,Germany,294957.0,2400000,Stuttgart Metropolitan Region,
772,"Sumter, SC MSA",United States,5801.0,134925,Sumter,SC MSA
773,Sunshine Coast,Australia,13813.0,333436,Sunshine Coast,
774,Surabaya Metropolitan,Indonesia,88821.0,11800657,Surabaya Metropolitan,
775,Surat,India,598.0,6600000,Surat,
776,Sydney,Australia,398037.0,5400000,Sydney,
777,"Syracuse, NY MSA",United States,49281.0,653633,Syracuse,NY MSA
778,Szczecin metropolitan area,Poland,13822.0,750000,Szczecin,
779,Taichung,Taiwan,63910.0,3033840,Taichung,
780,Tainan,Taiwan,37038.0,1875076,Tainan,
781,Taipei–Keelung metropolitan area,Taiwan,407838.0,9150000,Taipei–Keelung,
782,Taiyuan,China,60215.0,5304061,Taiyuan,
783,"Taizhou, Jiangsu",China,77015.0,4512762,Taizhou,Jiangsu
784,"Taizhou, Zhejiang",China,76300.0,6622888,Taizhou,Zhejiang
785,"Tallahassee, FL MSA",United States,22394.0,390992,Tallahassee,FL MSA
786,Tallinn metropolitan area,Estonia,22797.0,638076,Tallinn,
787,"Tampa-St. Petersburg-Clearwater, FL MSA",United States,219414.0,3290730,Tampa-St. Petersburg-Clearwater,FL MSA
788,Tampere,Finland,23987.0,241009,Tampere,
789,Tangshan,China,132.0,2600000,Tangshan,
790,Taoyuan,Taiwan,52010.0,2254363,Taoyuan,
791,Taranto metropolitan area,Italy,11518.0,555999,Taranto,
792,Tbilisi,Georgia,80.0,1184818,Tbilisi,
793,Tel Aviv metropolitan area,Israel,31000.0,4260000,Tel Aviv,
794,"Terre Haute, IN MSA",United States,9774.0,184875,Terre Haute,IN MSA
795,"Texarkana, TX-AR MSA",United States,6746.0,146408,Texarkana,TX-AR MSA
796,The Hague,Netherlands,60105.0,1116798,The Hague,
797,"The Villages, FL MSA",United States,5785.0,144970,The Villages,FL MSA
798,Thessaloniki,Greece,16452.0,1104023,Thessaloniki,
799,Thunder Bay,Canada,4658.0,126502,Thunder Bay,
800,Tilburg,Netherlands,21869.0,221947,Tilburg,
801,Timișoara metropolitan area,Romania,11526.0,430071,Timișoara,
802,Tokelau,Tokelau,9.0,1499,Tokelau,
803,"Toledo, OH MSA",United States,45846.0,640384,Toledo,OH MSA
804,Toowoomba,Australia,7118.0,136861,Toowoomba,
805,"Topeka, KS MSA",United States,14388.0,231783,Topeka,KS MSA
806,Toulouse Métropole,France,65456.0,1445789,Toulouse Métropole,
807,Tours Métropole Val de Loire,France,23795.0,392030,Tours Métropole Val de Loire,
808,Townsville,Australia,9075.0,180820,Townsville,
809,"Trenton-Princeton, NJ MSA",United States,49620.0,380688,Trenton-Princeton,NJ MSA
810,Trois-Rivières,Canada,5134.0,163374,Trois-Rivières,
811,"Tucson, AZ MSA",United States,55800.0,1057597,Tucson,AZ MSA
812,"Tulsa, OK MSA",United States,61966.0,1034123,Tulsa,OK MSA
813,Turin metropolitan area,Italy,78268.0,1728714,Turin,
814,Turku metropolitan area,Finland,21939.0,346662,Turku,
815,"Tuscaloosa, AL MSA",United States,13818.0,277494,Tuscaloosa,AL MSA
816,"Twin Falls, Idaho",United States,5878.0,116645,Twin Falls,Idaho
817,"Tyler, TX MSA",United States,14729.0,241922,Tyler,TX MSA
818,Uberlandia,Brazil,14728.0,604013,Uberlandia,
819,Ulm,Germany,26464.0,126949,Ulm,
820,Uppsala,Sweden,19237.0,388394,Uppsala,
821,"Urban Honolulu, HI MSA",United States,74422.0,995638,Urban Honolulu,HI MSA
822,Ürümqi,China,48385.0,4054369,Ürümqi,
823,"Utica-Rome, NY MSA",United States,15115.0,288668,Utica-Rome,NY MSA
824,Utrecht,Netherlands,88005.0,1356430,Utrecht,
825,"Valdosta, GA MSA",United States,7132.0,149849,Valdosta,GA MSA
826,Valencia metropolitan area,Spain,64435.0,1768205,Valencia,
827,Valladolid,Spain,15309.0,371861,Valladolid,
828,"Vallejo, CA MSA",United States,35408.0,448747,Vallejo,CA MSA
829,Valletta,Malta,1772.0,480134,Valletta,
830,Verona metropolitan area,Italy,34169.0,915975,Verona,
831,"Victoria, British Columbia",Canada,16789.0,409398,Victoria,British Columbia
832,"Victoria, TX MSA",United States,5907.0,98196,Victoria,TX MSA
833,Vienna,Austria,165968.0,3004660,Vienna,
834,Vigo metropolitan area,Spain,22987.0,321748,Vigo,
835,Vilnius urban area,Lithuania,30915.0,868341,Vilnius urban area,
836,"Vineland-Bridgeton, NJ MSA",United States,7831.0,151356,Vineland-Bridgeton,NJ MSA
837,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",United States,116686.0,1806840,Virginia Beach-Norfolk-Newport News,VA-NC MSA
838,"Visalia, CA MSA",United States,22794.0,477544,Visalia,CA MSA
839,Vishakhapatnam,India,435.0,2200000,Vishakhapatnam,
840,Vitória,Brazil,28357.0,1582418,Vitória,
841,Vitoria-Gasteiz,Spain,13403.0,253996,Vitoria-Gasteiz,
842,"Waco, TX MSA",United States,16276.0,283885,Waco,TX MSA
843,Wagga Wagga,Australia,4392.0,56442,Wagga Wagga,
844,"Walla Walla, WA MSA",United States,4134.0,61890,Walla Walla,WA MSA
845,"Warner Robins, GA MSA",United States,9812.0,198193,Warner Robins,GA MSA
846,Warsaw metropolitan area,Poland,135343.0,3269510,Warsaw,
847,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",United States,660626.0,6373756,Washington-Arlington-Alexandria,DC-VA-MD-WV MSA
848,"Waterloo-Cedar Falls, IA MSA",United States,11824.0,167889,Waterloo-Cedar Falls,IA MSA
849,"Watertown-Fort Drum, NY MSA",United States,7598.0,116637,Watertown-Fort Drum,NY MSA
850,"Wausau-Weston, WI MSA",United States,12065.0,166334,Wausau-Weston,WI MSA
851,Weihai,China,43753.0,2906548,Weihai,
852,"Weirton-Steubenville, WV-OH MSA",United States,7446.0,114235,Weirton-Steubenville,WV-OH MSA
853,Wellington,New Zealand,26607.0,440900,Wellington,
854,"Wenatchee, WA MSA",United States,8355.0,124118,Wenatchee,WA MSA
855,Wenzhou,China,1192.0,5050000,Wenzhou,
856,Wetzlar,Germany,9957.0,278200,Wetzlar,
857,"Wheeling, WV-OH MSA",United States,12603.0,136708,Wheeling,WV-OH MSA
858,"Wichita Falls, TX MSA",United States,7590.0,149299,Wichita Falls,TX MSA
859,"Wichita, KS MSA",United States,43935.0,650039,Wichita,KS MSA
860,"Williamsport, PA MSA",United States,7040.0,113104,Williamsport,PA MSA
861,"Wilmington, NC MSA",United States,20127.0,300658,Wilmington,NC MSA
862,"Winchester, VA-WV MSA",United States,9181.0,146455,Winchester,VA-WV MSA
863,"Windsor, Ontario",Canada,12243.0,353572,Windsor,Ontario
864,Winnipeg Metropolitan Region,Canada,33557.0,850558,Winnipeg Metropolitan Region,
865,"Winston-Salem, NC MSA",United States,40940.0,688471,Winston-Salem,NC MSA
866,Wollongong,Australia,5624.0,300332,Wollongong,
867,"Worcester, MA-CT MSA",United States,60343.0,980137,Worcester,MA-CT MSA
868,Wrocław metropolitan area,Poland,17387.0,672929,Wrocław,
869,Wuhai,China,8165.0,556621,Wuhai,
870,Wuhan,China,281000.0,10800000,Wuhan,
871,Wuhu,China,54412.0,3644420,Wuhu,
872,Xi'an,China,171.0,11600000,Xi'an,
873,Xiamen,China,92557.0,5163970,Xiamen,
874,Xiangtan,China,33971.0,2726181,Xiangtan,
875,Xiangyang,China,66720.0,5260951,Xiangyang,
876,Xilingol League,China,12176.0,1107075,Xilingol League,
877,Xinyu,China,14517.0,1202499,Xinyu,
878,Xuchang,China,50008.0,4379998,Xuchang,
879,Xuzhou,China,126.0,3050000,Xuzhou,
880,"Yakima, WA MSA",United States,13038.0,257001,Yakima,WA MSA
881,Yan'an,China,23219.0,2282581,Yan'an,
882,Yancheng,China,86314.0,6709629,Yancheng,
883,Yangzhou,China,87690.0,4559797,Yangzhou,
884,Yantai,China,142.0,2450000,Yantai,
885,Yerevan,Armenia,523.0,1500000,Yerevan,
886,Yichang,China,61783.0,4017607,Yichang,
887,Yingtan,China,14290.0,1154223,Yingtan,
888,"York-Hanover, PA MSA",United States,25187.0,461058,York-Hanover,PA MSA
889,"Youngstown-Warren-Boardman, OH-PA MSA",United States,24990.0,535499,Youngstown-Warren-Boardman,OH-PA MSA
890,"Yuba City, CA MSA",United States,8608.0,182813,Yuba City,CA MSA
891,Yueyang,China,58015.0,5051922,Yueyang,
892,"Yulin, Shaanxi",China,59293.0,3624750,Yulin,Shaanxi
893,"Yuma, AZ MSA",United States,9883.0,207842,Yuma,AZ MSA
894,Yuxi,China,29840.0,2249502,Yuxi,
895,Zagreb metropolitan area,Croatia,2963.0,1189279,Zagreb,
896,Zaragoza metropolitan area,Spain,29702.0,681877,Zaragoza,
897,Zhangzhou,China,65903.0,5054328,Zhangzhou,
898,Zhengzhou,China,192.0,8950000,Zhengzhou,
899,Zhenjiang,China,61182.0,3210418,Zhenjiang,
900,Zhuzhou,China,45029.0,1330000,Zhuzhou,
901,Zibo,China,53260.0,4704138,Zibo,
902,Zürich Metropolitan Area,Switzerland,158913.0,1430000,Zürich Metropolitan Area,
903,Zwolle,Netherlands,17936.0,129840,Zwolle,
